,usage_type,fuel_type,energy_kwh
299,residential,electric,114.85867675129212
300,residential,electric,218.5969773899352
301,residential,electric,106.87389222525094
302,commercial,electric,1804.4032856959848
303,other,electric,3158.1211530442433
304,agriculture,electric,1279.4372617441193
305,commercial,electric,816.6275951615462
306,residential,electric,170.4102673960899
307,residential,electric,153.48003444633918
308,residential,electric,147.26406768713136
309,industrial,electric,32184.41294729155
310,residential,electric,162.3020659984154
311,commercial,electric,936.4114411540935
312,industrial,electric,52604.914684086434
313,other,electric,6201.669176812506
314,commercial,electric,1443.8799495934963
315,industrial,electric,52316.75276639944
316,residential,electric,308.7053041703627
317,residential,electric,214.99480453069802
318,agriculture,electric,1108.6354720103977
319,residential,electric,87.14813830950007
320,residential,electric,161.95889110806982
321,other,electric,4764.232058799632
322,agriculture,electric,937.4177285920169
323,commercial,electric,1317.6004212467217
324,commercial,electric,1896.129477693314
325,residential,electric,116.18445143269555
326,residential,electric,138.2729372515146
327,commercial,electric,1028.038722993741
328,residential,electric,185.64220945030425
329,industrial,electric,52417.06688740134
330,residential,electric,92.20315902727678
331,commercial,electric,1244.0162334011134
332,residential,electric,139.06222455897057
333,agriculture,electric,378.7284270196716
334,residential,electric,175.93665824151935
335,residential,electric,150.898543563376
336,other,electric,3546.8927330741194
337,commercial,electric,2072.345296506334
338,residential,electric,199.78598506879231
339,other,electric,11228.059181616649
340,industrial,electric,45734.48470578436
341,residential,electric,141.66845462703716
342,commercial,electric,1055.705650253541
343,agriculture,electric,530.0960003237925
344,commercial,electric,1757.3890061749285
345,commercial,electric,1616.0291102410276
346,residential,electric,282.78980660201177
347,residential,electric,162.98882788509277
348,commercial,electric,871.4030315811498
349,residential,electric,180.0814361977195
350,other,electric,6795.1834585415945
351,commercial,electric,1169.4631770757148
352,residential,electric,108.67398536420293
353,industrial,electric,24115.164080835675
354,residential,electric,144.62863372432957
355,commercial,electric,1258.0014194935577
356,residential,electric,137.03780895816072
357,residential,electric,140.3200287253204
358,commercial,electric,1323.549261350281
359,other,electric,5468.025579110382
360,residential,electric,197.34283543060855
361,commercial,electric,1050.6455780674976
362,residential,electric,213.6694237488192
363,industrial,electric,23093.086985957216
364,residential,electric,120.69635505854255
365,commercial,electric,1317.1518947484126
366,residential,electric,185.27774986366663
367,residential,electric,173.04747569128097
368,other,electric,5968.921262757818
369,commercial,electric,1889.0042837791475
370,residential,electric,202.60748505060084
371,residential,electric,258.09150056451523
372,residential,electric,147.14530348174281
373,agriculture,electric,879.9312626874308
374,industrial,electric,59640.56802402093
375,residential,electric,108.76974210139196
376,industrial,electric,227649.29667056582
377,residential,electric,149.30967503214825
378,residential,electric,123.79194624750002
379,residential,electric,118.57227304132087
380,residential,electric,151.65872702108524
381,residential,electric,340.4873017044588
382,residential,electric,124.4664972789068
383,residential,electric,284.74954253459714
384,other,electric,4704.503222077961
385,commercial,electric,2151.006777522697
386,industrial,electric,33692.794414630196
387,residential,electric,101.3497905037225
388,residential,electric,170.4576922927064
389,commercial,electric,1962.2491355536654
390,commercial,electric,941.1679142196163
391,industrial,electric,65699.22470749184
392,residential,electric,140.36665863362802
393,residential,electric,210.04103467664268
394,residential,electric,115.28956797837716
395,residential,electric,198.61617916984304
396,residential,electric,182.83630108260255
397,residential,electric,111.87433088835832
398,other,electric,5536.31076423096
399,residential,electric,273.30179090535296
400,residential,electric,226.5479682957984
401,industrial,electric,31075.469528646303
402,residential,electric,256.05209937601416
403,residential,electric,140.51079950377314
404,commercial,electric,1611.112956321397
405,residential,electric,117.26398547215649
406,residential,electric,143.40351542317194
407,residential,electric,99.62339298808355
408,residential,electric,195.8053496991264
409,agriculture,electric,666.9903740067259
410,residential,electric,148.82820532391264
411,residential,electric,227.78913310069805
412,agriculture,electric,425.9560606581242
413,residential,electric,231.89639652358326
414,industrial,electric,14714.223369846912
415,residential,electric,169.95773728475987
416,industrial,electric,22105.525357767197
417,residential,electric,185.9632937801765
418,agriculture,electric,862.0322131970581
419,industrial,electric,31226.329006394826
420,commercial,electric,2339.9824652867333
421,residential,electric,152.79398715418188
422,residential,electric,335.57686455493035
423,industrial,electric,33944.619332017246
424,residential,electric,188.44581942387794
425,residential,electric,133.39334393197
426,industrial,electric,71837.82443438702
427,residential,electric,216.83881927921377
428,residential,electric,149.9568881797585
429,industrial,electric,41709.74825832438
430,residential,electric,123.25087853898475
431,residential,electric,122.88492240635613
432,residential,electric,184.48890868845558
433,industrial,electric,23243.261997552978
434,residential,electric,153.79054152753324
435,residential,electric,194.81088658927374
436,residential,electric,135.73643585980585
437,industrial,electric,94853.35642821976
438,residential,electric,143.9162758529643
439,residential,electric,354.16560280150276
440,residential,electric,258.5118757399297
441,commercial,electric,1497.3220608064942
442,agriculture,electric,710.6703629412777
443,residential,electric,127.1536752819814
444,residential,electric,152.85613700408328
445,residential,electric,226.9501367697389
446,residential,electric,191.7585933734679
447,other,electric,4404.788298041573
448,commercial,electric,967.9520037670176
449,residential,electric,133.1850528705759
450,residential,electric,133.247654704833
451,residential,electric,128.6180098417336
452,residential,electric,139.36433824959636
453,agriculture,electric,603.4360107498047
454,residential,electric,119.05614491114302
455,residential,electric,213.99824703328747
456,residential,electric,228.48146777108627
457,residential,electric,232.67808410862523
458,residential,electric,263.6238128897273
459,residential,electric,132.9595803881378
460,residential,electric,131.15517105362008
461,commercial,electric,754.7439967715526
462,residential,electric,352.99363696521084
463,residential,electric,170.68848751433543
464,residential,electric,223.5489631270606
465,commercial,electric,724.5273348064015
466,residential,electric,145.22735657067136
467,residential,electric,180.36801686264994
468,residential,electric,212.265050701872
469,residential,electric,221.49489913806988
470,other,electric,7458.664892085471
471,residential,electric,240.27466991821674
472,commercial,electric,1553.0995717681064
473,residential,electric,232.63875385201635
474,industrial,electric,13704.475138028596
475,industrial,electric,54397.255663854885
476,residential,electric,167.87948689464164
477,other,electric,3957.5661126633245
478,industrial,electric,43646.53450843944
479,commercial,electric,2217.801194175105
480,industrial,electric,10577.490049812444
481,residential,electric,225.54966424963513
482,commercial,electric,2386.003225628366
483,commercial,electric,1388.1328969338097
484,industrial,electric,23311.125031362357
485,other,electric,4006.5984604099353
486,other,electric,6031.56367304414
487,residential,electric,224.61656976628217
488,residential,electric,153.86025623574207
489,commercial,electric,1626.5631684971913
490,commercial,electric,1164.9007779011756
491,residential,electric,176.38538322314153
492,other,electric,4905.916914766043
493,residential,electric,222.448337654423
494,residential,electric,153.3367825292139
495,industrial,electric,27992.792671214473
496,commercial,electric,1061.7556226705638
497,industrial,electric,19705.073913438297
498,commercial,electric,1240.6890731150347
499,commercial,electric,1961.7186332963613
500,residential,electric,108.25642886509532
501,residential,electric,157.8869303369955
502,residential,electric,179.5508671600178
503,residential,electric,169.44362361144658
504,residential,electric,324.2732046214674
505,residential,electric,143.99254508580347
506,industrial,electric,46706.75838574536
507,other,electric,4361.649323754906
508,residential,electric,152.71922694673415
509,commercial,electric,1588.629588212664
510,residential,electric,158.14671999098167
511,commercial,electric,743.1679003441362
512,commercial,electric,957.1112814958483
513,industrial,electric,62244.89981020609
514,other,electric,4298.196989982087
515,residential,electric,275.13908991016916
516,residential,electric,147.9548177424763
517,residential,electric,343.1038637817439
518,residential,electric,215.52441750484414
519,commercial,electric,1154.1718592975953
520,residential,electric,243.18141831610646
521,industrial,electric,77628.21619392921
522,residential,electric,168.77147204700125
523,agriculture,electric,711.3832475998952
524,residential,electric,264.4436287279929
525,residential,electric,132.12559876803167
526,residential,electric,102.08286096640997
527,industrial,electric,45347.80512977862
528,residential,electric,132.13751381953603
529,residential,electric,104.14223914606897
530,residential,electric,165.65897428372867
531,industrial,electric,35951.302925691416
532,agriculture,electric,393.3135771979207
533,industrial,electric,50349.778818155755
534,residential,electric,267.6567638341847
535,commercial,electric,3456.1417947305595
536,residential,electric,138.26753225443608
537,residential,electric,157.8221317044964
538,residential,electric,178.93174331347154
539,agriculture,electric,890.2014419418022
540,residential,electric,284.2544698778265
541,industrial,electric,26773.402036830386
542,residential,electric,171.32521044976585
543,residential,electric,183.58561907225743
544,commercial,electric,856.0177702551198
545,commercial,electric,2667.6788507810497
546,residential,electric,122.7843909299966
547,commercial,electric,1156.0997223286365
548,residential,electric,191.933126324189
549,residential,electric,141.77687673811135
550,commercial,electric,1762.5242660000633
551,residential,electric,260.64328788501746
552,residential,electric,155.68284738414673
553,commercial,electric,965.1485925221526
554,residential,electric,160.03677902932873
555,residential,electric,438.8594829592602
556,industrial,electric,33045.39851662203
557,residential,electric,169.0094623835903
558,residential,electric,302.50262653204317
559,residential,electric,142.96824415990946
560,commercial,electric,997.7890620439616
561,residential,electric,192.21775335989085
562,residential,electric,192.6658361172182
563,commercial,electric,1039.5899129961288
564,industrial,electric,38980.96223205147
565,commercial,electric,1658.7659216743757
566,commercial,electric,1160.4187031142317
567,residential,electric,256.8078570223408
568,residential,electric,177.33516926214548
569,residential,electric,103.43979778072546
570,residential,electric,249.87320842767093
571,agriculture,electric,660.3677122915789
572,commercial,electric,1623.988643496611
573,residential,electric,168.00296293689686
574,residential,electric,227.23576152513732
575,residential,electric,74.08771951073012
576,residential,electric,144.77088632273
577,residential,electric,224.84611051918145
578,residential,electric,83.812621880783
579,residential,electric,90.15832119573409
580,residential,electric,107.33123701450414
581,other,electric,2807.017218901764
582,residential,electric,89.84601884630571
583,commercial,electric,590.2511625865335
584,residential,electric,84.60278593729605
585,residential,electric,139.48002088838942
586,residential,electric,216.01769433341994
587,residential,electric,182.57084798046733
588,residential,electric,254.4661114068255
589,industrial,electric,36776.741529765124
590,commercial,electric,1821.2613617228192
591,residential,electric,226.84454384480054
592,commercial,electric,1313.3005817339285
593,residential,electric,140.77173863742163
594,residential,electric,139.22773543991298
595,commercial,electric,1656.715942435544
596,residential,electric,143.3800177823345
597,commercial,electric,1866.0820846837603
598,residential,electric,189.18270992679865
599,residential,electric,208.22829873156252
600,residential,electric,327.0075536601181
601,industrial,electric,26344.760073287493
602,residential,electric,146.54100605881024
603,residential,electric,153.63418057344458
604,commercial,electric,2132.3087108947743
605,commercial,electric,2324.281114342554
606,industrial,electric,16015.158446668474
607,residential,electric,180.9852346639211
608,commercial,electric,1689.298609477616
609,industrial,electric,46035.392317807964
610,agriculture,electric,410.81253654896705
611,residential,electric,117.72523233951051
612,residential,electric,200.17511471418197
613,residential,electric,141.75505861394151
614,residential,electric,173.00451129243368
615,other,electric,6931.646094001246
616,industrial,electric,35596.53876559117
617,residential,electric,195.41635138586642
618,residential,electric,118.72847602552706
619,residential,electric,208.27445565937137
620,residential,electric,289.29203222268137
621,residential,electric,202.8106444354273
622,commercial,electric,1179.9770425370818
623,commercial,electric,884.0993888590234
624,residential,electric,161.0813499077176
625,residential,electric,126.46565731614784
626,residential,electric,241.27427709024306
627,residential,electric,132.03660012248343
628,residential,electric,333.7810331567472
629,residential,electric,152.45369395069736
630,industrial,electric,46995.017884520246
631,commercial,electric,1686.2657193344055
632,residential,electric,239.78675780819205
633,commercial,electric,1262.0914733986351
634,residential,electric,109.83106608430212
635,residential,electric,110.7868436006941
636,commercial,electric,1497.715304598191
637,agriculture,electric,1033.8967461273903
638,commercial,electric,1364.5149325231307
639,residential,electric,153.95687111239073
640,residential,electric,222.43516955170097
641,residential,electric,168.98696283751923
642,industrial,electric,33409.256486750695
643,residential,electric,142.30296370460783
644,residential,electric,115.63235576104829
645,residential,electric,252.52070224796162
646,residential,electric,221.81356393973687
647,residential,electric,249.38285330122878
648,residential,electric,154.61746551933265
649,residential,electric,143.77704266832626
650,residential,electric,339.8385722974348
651,residential,electric,199.15021227059768
652,residential,electric,176.19317369082378
653,residential,electric,199.9205712508533
654,residential,electric,149.19235940086372
655,commercial,electric,1809.8221760077047
656,residential,electric,127.06855718279736
657,residential,electric,160.52518695984975
658,commercial,electric,1565.926440623309
659,residential,electric,151.6200687535778
660,agriculture,electric,575.106024922351
661,residential,electric,232.4077002008357
662,residential,electric,175.3537339114379
663,residential,electric,191.52189856710618
664,commercial,electric,621.4903209340446
665,commercial,electric,1535.9728806616733
666,commercial,electric,1089.0696856271734
667,residential,electric,159.68021663970165
668,residential,electric,145.29207160922925
669,residential,electric,127.34068068730927
670,industrial,electric,30674.285973910362
671,residential,electric,126.83973184891647
672,industrial,electric,12948.667120722446
673,residential,electric,200.3991667924033
674,residential,electric,198.3770181465449
675,industrial,electric,30320.537178504837
676,residential,electric,304.90011199107903
677,residential,electric,321.59926150362503
678,commercial,electric,1066.416937615529
679,commercial,electric,1201.5878760871833
680,commercial,electric,1730.2283084312007
681,residential,electric,223.57438579845444
682,commercial,electric,473.73432638215917
683,residential,electric,206.17172658382208
684,residential,electric,403.3333732636557
685,residential,electric,119.5320733203645
686,residential,electric,133.354143846343
687,residential,electric,292.8721199327073
688,residential,electric,173.69901730471594
689,industrial,electric,19914.711918001303
690,residential,electric,123.66781258751963
691,residential,electric,138.5003590506223
692,residential,electric,208.91309434743565
693,commercial,electric,1920.0462751238383
694,residential,electric,139.96644560052232
695,residential,electric,197.47947039335557
696,residential,electric,93.74621784399191
697,residential,electric,134.15435494816515
698,agriculture,electric,541.6866908544308
699,residential,electric,150.31680115998284
700,commercial,electric,2347.8431692991153
701,residential,electric,187.586130901856
702,commercial,electric,1886.2966842005533
703,residential,electric,145.71041576634298
704,commercial,electric,1279.5445871611346
705,commercial,electric,1629.7882494717155
706,agriculture,electric,1304.1918449118211
707,industrial,electric,28213.596535274442
708,commercial,electric,2200.363700362543
709,commercial,electric,1260.5931461639505
710,commercial,electric,784.0972477016082
711,residential,electric,174.41436059054655
712,agriculture,electric,951.5076998624146
713,industrial,electric,67739.37707689857
714,agriculture,electric,503.40071106460397
715,residential,electric,210.14563149639224
716,residential,electric,179.84597012834382
717,commercial,electric,1546.2899849276478
718,residential,electric,250.9952382844644
719,residential,electric,251.14336800905275
720,commercial,electric,1394.2950173273812
721,residential,electric,237.69571152031074
722,residential,electric,262.27799252224685
723,residential,electric,156.6479922876767
724,commercial,electric,1004.7966079158654
725,residential,electric,126.33116373804404
726,residential,electric,171.65954550035892
727,residential,electric,166.06336812032347
728,residential,electric,197.5213766305554
729,commercial,electric,1265.2055394059112
730,agriculture,electric,633.3637911939641
731,residential,electric,197.66731187879648
732,residential,electric,147.42580880116714
733,residential,electric,196.26800421430508
734,residential,electric,298.1343213697363
735,commercial,electric,1436.2493861795788
736,commercial,electric,1265.9080512179023
737,residential,electric,224.71818457897754
738,industrial,electric,53459.02169016059
739,residential,electric,158.24721488897717
740,industrial,electric,38973.588049260055
741,other,electric,5989.465452190359
742,other,electric,3935.180935861743
743,residential,electric,227.17225366136188
744,residential,electric,239.59739659133496
745,residential,electric,253.78766416804478
746,residential,electric,221.99579539652387
747,residential,electric,425.0425198544079
748,residential,electric,130.03068023387385
749,residential,electric,151.36571595530128
750,industrial,electric,80559.74876312897
751,residential,electric,142.13575397858008
752,commercial,electric,1159.1849019886524
753,residential,electric,213.87510747813562
754,agriculture,electric,443.7899251551704
755,commercial,electric,2318.7097769295633
756,residential,electric,206.743646837247
757,other,electric,5668.266136385063
758,commercial,electric,1017.833444601967
759,agriculture,electric,569.2497340612787
760,residential,electric,233.55962772027777
761,residential,electric,141.71963541318905
762,commercial,electric,1135.4458514380135
763,other,electric,8324.072971771668
764,commercial,electric,1978.3683685510232
765,residential,electric,136.39393669855235
766,residential,electric,130.96627069011407
767,commercial,electric,1278.2975925602977
768,residential,electric,239.23634735456702
769,industrial,electric,38434.578842378614
770,residential,electric,139.86922698828744
771,residential,electric,211.04096747334955
772,residential,electric,157.78919307958225
773,residential,electric,155.27413522300026
774,residential,electric,174.41756114497355
775,residential,electric,194.97540305443667
776,commercial,electric,1565.620201283427
777,commercial,electric,1242.3774934615533
778,industrial,electric,48056.29152551152
779,commercial,electric,1533.9398283780681
780,industrial,electric,20971.918331068522
781,commercial,electric,1168.718692348085
782,commercial,electric,703.7523053536386
783,residential,electric,241.3746315978537
784,residential,electric,218.0210166926303
785,residential,electric,207.5057737262885
786,residential,electric,338.5098922384952
787,residential,electric,159.33930927889088
788,industrial,electric,69368.58352528045
789,commercial,electric,1036.7277343786768
790,residential,electric,183.0032056981491
791,commercial,electric,1736.222604024022
792,commercial,electric,944.4273953127476
793,residential,electric,259.967302125472
794,commercial,electric,1069.405055876889
795,commercial,electric,1584.185084654819
796,agriculture,electric,530.9394425849347
797,industrial,electric,16901.353720502437
798,commercial,electric,1259.5145923020095
799,residential,electric,199.93221959252884
800,commercial,electric,1538.954855628147
801,residential,electric,142.85240387553276
802,residential,electric,190.99201017916553
803,agriculture,electric,573.6796569020246
804,industrial,electric,34379.67234383144
805,residential,electric,186.12050910096772
806,residential,electric,136.4992778412513
807,commercial,electric,800.6791462736971
808,residential,electric,222.41089967447147
809,residential,electric,162.16205671574627
810,residential,electric,114.22341032553352
811,residential,electric,145.7120479437665
812,residential,electric,123.79078351407034
813,residential,electric,189.85800476571947
814,residential,electric,248.64264274609604
815,agriculture,electric,535.9915849560381
816,residential,electric,203.7816939967177
817,residential,electric,253.15278842336937
818,industrial,electric,49805.227466609154
819,residential,electric,256.13334928995545
820,residential,electric,204.14990250725506
821,residential,electric,266.6876814174693
822,residential,electric,264.623683630123
823,commercial,electric,959.1611605930597
824,industrial,electric,39373.81605339889
825,residential,electric,269.98952905551533
826,residential,electric,331.52248205433176
827,residential,electric,157.851146859519
828,residential,electric,210.87736795976352
829,agriculture,electric,1007.6282537292558
830,residential,electric,174.36237275694276
831,residential,electric,168.91812491541853
832,residential,electric,161.96968304118425
833,residential,electric,308.62257703689596
834,industrial,electric,19213.851128945895
835,commercial,electric,1725.0401067345686
836,residential,electric,173.52041393127695
837,residential,electric,236.54604282896173
838,commercial,electric,1272.1753442896713
839,commercial,electric,1514.9746241030914
840,residential,electric,174.62186481268017
841,agriculture,electric,733.5455838342956
842,commercial,electric,1338.8506774834204
843,commercial,electric,1767.7361952829758
844,residential,electric,172.75309504379558
845,industrial,electric,63594.49444008159
846,commercial,electric,1779.9226434386276
